Function,Category,Subcategory,Implementation Examples,Informative References,Exportable From SIEM,API,Difficulty,Comments,Linked Query,Vendor,Query Version,Dashboard Name,Pretty Print Queries,API Queries
IDENTIFY (ID): The organization's current cybersecurity risks are understood,"Risk Assessment (ID.RA): The cybersecurity risk to the organization, assets, and individuals is understood by the organization","ID.RA-01: Vulnerabilities in assets are identified, validated, and recorded",Ex4: Assess facilities that house critical computing assets for physical vulnerabilities and resilience issues,"CCMv4.0: AIS-05
CCMv4.0: AIS-07
CCMv4.0: TVM-01
CCMv4.0: TVM-03
CCMv4.0: TVM-05
CCMv4.0: TVM-06
CCMv4.0: TVM-07
CCMv4.0: TVM-08
CCMv4.0: TVM-09
CCMv4.0: TVM-10
CIS Controls v8.0: 7.1
CRI Profile v2.0: ID.RA-01
CRI Profile v2.0: ID.RA-01.01
CRI Profile v2.0: ID.RA-01.02
CRI Profile v2.0: ID.RA-01.03
CSF v1.1: ID.RA-1
CSF v1.1: PR.IP-12
CSF v1.1: DE.CM-8
SP 800-218: PO.5.2
SP 800-221A: MA.RI-3
SP 800-53 Rev 5.1.1: CA-02
SP 800-53 Rev 5.1.1: CA-07
SP 800-53 Rev 5.1.1: CA-08
SP 800-53 Rev 5.1.1: RA-03
SP 800-53 Rev 5.1.1: RA-05
SP 800-53 Rev 5.1.1: SA-11(02)
SP 800-53 Rev 5.1.1: SA-15(07)
SP 800-53 Rev 5.1.1: SA-15(08)
SP 800-53 Rev 5.1.1: SI-04
SP 800-53 Rev 5.1.1: SI-05",No,None,,"This would be handled via organizational policy, physical infrastructure facilities, and review of related information.",FALSE,,,,,
IDENTIFY (ID): The organization's current cybersecurity risks are understood,"Risk Assessment (ID.RA): The cybersecurity risk to the organization, assets, and individuals is understood by the organization","ID.RA-01: Vulnerabilities in assets are identified, validated, and recorded",Ex5: Monitor sources of cyber threat intelligence for information on new vulnerabilities in products and services,"CCMv4.0: AIS-05
CCMv4.0: AIS-07
CCMv4.0: TVM-01
CCMv4.0: TVM-03
CCMv4.0: TVM-05
CCMv4.0: TVM-06
CCMv4.0: TVM-07
CCMv4.0: TVM-08
CCMv4.0: TVM-09
CCMv4.0: TVM-10
CIS Controls v8.0: 7.1
CRI Profile v2.0: ID.RA-01
CRI Profile v2.0: ID.RA-01.01
CRI Profile v2.0: ID.RA-01.02
CRI Profile v2.0: ID.RA-01.03
CSF v1.1: ID.RA-1
CSF v1.1: PR.IP-12
CSF v1.1: DE.CM-8
SP 800-218: PO.5.2
SP 800-221A: MA.RI-3
SP 800-53 Rev 5.1.1: CA-02
SP 800-53 Rev 5.1.1: CA-07
SP 800-53 Rev 5.1.1: CA-08
SP 800-53 Rev 5.1.1: RA-03
SP 800-53 Rev 5.1.1: RA-05
SP 800-53 Rev 5.1.1: SA-11(02)
SP 800-53 Rev 5.1.1: SA-15(07)
SP 800-53 Rev 5.1.1: SA-15(08)
SP 800-53 Rev 5.1.1: SI-04
SP 800-53 Rev 5.1.1: SI-05",No,None,,"This may be harvestable if Google is ingesting a custom threat feed, and the feeds API it utilized to determine whether it is functioning correctly.",FALSE,,,,,
IDENTIFY (ID): The organization's current cybersecurity risks are understood,"Risk Assessment (ID.RA): The cybersecurity risk to the organization, assets, and individuals is understood by the organization","ID.RA-01: Vulnerabilities in assets are identified, validated, and recorded",Ex6: Review processes and procedures for weaknesses that could be exploited to affect cybersecurity,"CCMv4.0: AIS-05
CCMv4.0: AIS-07
CCMv4.0: TVM-01
CCMv4.0: TVM-03
CCMv4.0: TVM-05
CCMv4.0: TVM-06
CCMv4.0: TVM-07
CCMv4.0: TVM-08
CCMv4.0: TVM-09
CCMv4.0: TVM-10
CIS Controls v8.0: 7.1
CRI Profile v2.0: ID.RA-01
CRI Profile v2.0: ID.RA-01.01
CRI Profile v2.0: ID.RA-01.02
CRI Profile v2.0: ID.RA-01.03
CSF v1.1: ID.RA-1
CSF v1.1: PR.IP-12
CSF v1.1: DE.CM-8
SP 800-218: PO.5.2
SP 800-221A: MA.RI-3
SP 800-53 Rev 5.1.1: CA-02
SP 800-53 Rev 5.1.1: CA-07
SP 800-53 Rev 5.1.1: CA-08
SP 800-53 Rev 5.1.1: RA-03
SP 800-53 Rev 5.1.1: RA-05
SP 800-53 Rev 5.1.1: SA-11(02)
SP 800-53 Rev 5.1.1: SA-15(07)
SP 800-53 Rev 5.1.1: SA-15(08)
SP 800-53 Rev 5.1.1: SI-04
SP 800-53 Rev 5.1.1: SI-05",No,None,,This would be handled via organizational review according to policy and procedures.,FALSE,,,,,
IDENTIFY (ID): The organization's current cybersecurity risks are understood,"Risk Assessment (ID.RA): The cybersecurity risk to the organization, assets, and individuals is understood by the organization",ID.RA-02: Cyber threat intelligence is received from information sharing forums and sources,Ex1: Configure cybersecurity tools and technologies with detection or response capabilities to securely ingest cyber threat intelligence feeds,"CCMv4.0: GRC-08
CCMv4.0: TVM-04
CRI Profile v2.0: ID.RA-02
CRI Profile v2.0: ID.RA-02.01
CRI Profile v2.0: ID.RA-02.02
CSF v1.1: ID.RA-2
SP 800-221A: GV.BE-4
SP 800-53 Rev 5.1.1: SI-05
SP 800-53 Rev 5.1.1: PM-15
SP 800-53 Rev 5.1.1: PM-16",No,None,,"This may be harvestable if Google is ingesting a custom threat feed, and the feeds API it utilized to determine whether it is functioning correctly.",FALSE,,,,,
IDENTIFY (ID): The organization's current cybersecurity risks are understood,"Risk Assessment (ID.RA): The cybersecurity risk to the organization, assets, and individuals is understood by the organization",ID.RA-02: Cyber threat intelligence is received from information sharing forums and sources,"Ex2: Receive and review advisories from reputable third parties on current threat actors and their tactics, techniques, and procedures (TTPs)","CCMv4.0: GRC-08
CCMv4.0: TVM-04
CRI Profile v2.0: ID.RA-02
CRI Profile v2.0: ID.RA-02.01
CRI Profile v2.0: ID.RA-02.02
CSF v1.1: ID.RA-2
SP 800-221A: GV.BE-4
SP 800-53 Rev 5.1.1: SI-05
SP 800-53 Rev 5.1.1: PM-15
SP 800-53 Rev 5.1.1: PM-16",No,None,,"This would need to be performed manually, and should be done in accordance with organizational policys and procedures.",FALSE,,,,,
IDENTIFY (ID): The organization's current cybersecurity risks are understood,"Risk Assessment (ID.RA): The cybersecurity risk to the organization, assets, and individuals is understood by the organization",ID.RA-02: Cyber threat intelligence is received from information sharing forums and sources,Ex3: Monitor sources of cyber threat intelligence for information on the types of vulnerabilities that emerging technologies may have,"CCMv4.0: GRC-08
CCMv4.0: TVM-04
CRI Profile v2.0: ID.RA-02
CRI Profile v2.0: ID.RA-02.01
CRI Profile v2.0: ID.RA-02.02
CSF v1.1: ID.RA-2
SP 800-221A: GV.BE-4
SP 800-53 Rev 5.1.1: SI-05
SP 800-53 Rev 5.1.1: PM-15
SP 800-53 Rev 5.1.1: PM-16",No,None,,"This may be harvestable if Google is ingesting a custom threat feed, and the feeds API it utilized to determine whether it is functioning correctly.",FALSE,,,,,
IDENTIFY (ID): The organization's current cybersecurity risks are understood,"Risk Assessment (ID.RA): The cybersecurity risk to the organization, assets, and individuals is understood by the organization",ID.RA-03: Internal and external threats to the organization are identified and recorded,Ex1: Use cyber threat intelligence to maintain awareness of the types of threat actors likely to target the organization and the TTPs they are likely to use,"CCMv4.0: A&A-05
CCMv4.0: TVM-05
CRI Profile v2.0: ID.RA-03
CRI Profile v2.0: ID.RA-03.01
CRI Profile v2.0: ID.RA-03.02
CRI Profile v2.0: ID.RA-03.03
CRI Profile v2.0: ID.RA-03.04
CSF v1.1: ID.RA-3
SP 800-221A: MA.RI-2
SP 800-53 Rev 5.1.1: PM-12
SP 800-53 Rev 5.1.1: PM-16
SP 800-53 Rev 5.1.1: RA-03
SP 800-53 Rev 5.1.1: SI-05",No,None,,"This would be handled via orgnizational policies and policies, and via due diligence by staff through security awareness (phishing education, CISA alerts, ISAC reports, et cetera.",FALSE,,,,,
IDENTIFY (ID): The organization's current cybersecurity risks are understood,"Risk Assessment (ID.RA): The cybersecurity risk to the organization, assets, and individuals is understood by the organization",ID.RA-03: Internal and external threats to the organization are identified and recorded,Ex2: Perform threat hunting to look for signs of threat actors within the environment,"CCMv4.0: A&A-05
CCMv4.0: TVM-05
CRI Profile v2.0: ID.RA-03
CRI Profile v2.0: ID.RA-03.01
CRI Profile v2.0: ID.RA-03.02
CRI Profile v2.0: ID.RA-03.03
CRI Profile v2.0: ID.RA-03.04
CSF v1.1: ID.RA-3
SP 800-221A: MA.RI-2
SP 800-53 Rev 5.1.1: PM-12
SP 800-53 Rev 5.1.1: PM-16
SP 800-53 Rev 5.1.1: RA-03
SP 800-53 Rev 5.1.1: SI-05",Yes,Chronicle API Needs Research,,"It appears that Shared Saved Searches can be retrieved via the API.  Specifically, the IAM permissions lists the permission:  chronicle.searchQueries.list and the API method:  UserDataService.ListSearchQueries/.  

This will require further information.",FALSE,,,,,
IDENTIFY (ID): The organization's current cybersecurity risks are understood,"Risk Assessment (ID.RA): The cybersecurity risk to the organization, assets, and individuals is understood by the organization",ID.RA-03: Internal and external threats to the organization are identified and recorded,Ex3: Implement processes for identifying internal threat actors,"CCMv4.0: A&A-05
CCMv4.0: TVM-05
CRI Profile v2.0: ID.RA-03
CRI Profile v2.0: ID.RA-03.01
CRI Profile v2.0: ID.RA-03.02
CRI Profile v2.0: ID.RA-03.03
CRI Profile v2.0: ID.RA-03.04
CSF v1.1: ID.RA-3
SP 800-221A: MA.RI-2
SP 800-53 Rev 5.1.1: PM-12
SP 800-53 Rev 5.1.1: PM-16
SP 800-53 Rev 5.1.1: RA-03
SP 800-53 Rev 5.1.1: SI-05",No,None,,"This would be handled via organizational policies and procedures.  However, there are some SecOps rules that will identify potential insider threats.",FALSE,,,,,
PROTECT (PR): Safeguards to manage the organization's cybersecurity risks are used,"Identity Management, Authentication, and Access Control (PR.AA): Access to physical and logical assets is limited to authorized users, services, and hardware and  managed commensurate with the assessed risk of unauthorized access","PR.AA-01: Identities and credentials for authorized users, services, and hardware are managed by the organization","Ex1: Initiate requests for new access or additional access for employees, contractors, and others, and track, review, and fulfill the requests, with permission from system or data owners when needed","CCMv4.0: CEK-01
CCMv4.0: CEK-10
CCMv4.0: CEK-11
CCMv4.0: CEK-12
CCMv4.0: CEK-13
CCMv4.0: CEK-14
CCMv4.0: CEK-15
CCMv4.0: CEK-16
CCMv4.0: CEK-17
CCMv4.0: CEK-18
CCMv4.0: CEK-19
CCMv4.0: CEK-20
CCMv4.0: CEK-21
CCMv4.0: DCS-08
CCMv4.0: IAM-01
CCMv4.0: IAM-03
CCMv4.0: IAM-06
CCMv4.0: IAM-07
CCMv4.0: IAM-09
CCMv4.0: IAM-13
CCMv4.0: IAM-14
CCMv4.0: IAM-15
CCMv4.0: IAM-16
CCMv4.0: UEM-14
CIS Controls v8.0: 5.1
CIS Controls v8.0: 6.7
CRI Profile v2.0: PR.AA-01
CRI Profile v2.0: PR.AA-01.01
CRI Profile v2.0: PR.AA-01.02
CSF v1.1: PR.AC-1
SP 800-53 Rev 5.1.1: AC-01
SP 800-53 Rev 5.1.1: AC-02
SP 800-53 Rev 5.1.1: AC-14
SP 800-53 Rev 5.1.1: IA-01
SP 800-53 Rev 5.1.1: IA-02
SP 800-53 Rev 5.1.1: IA-03
SP 800-53 Rev 5.1.1: IA-04
SP 800-53 Rev 5.1.1: IA-05
SP 800-53 Rev 5.1.1: IA-06
SP 800-53 Rev 5.1.1: IA-07
SP 800-53 Rev 5.1.1: IA-08
SP 800-53 Rev 5.1.1: IA-09
SP 800-53 Rev 5.1.1: IA-10
SP 800-53 Rev 5.1.1: IA-11",No,None,,This would be performed via policies and procedures.  Evidence would likely be gathered via tickets.,FALSE,,,,,
PROTECT (PR): Safeguards to manage the organization's cybersecurity risks are used,"Identity Management, Authentication, and Access Control (PR.AA): Access to physical and logical assets is limited to authorized users, services, and hardware and  managed commensurate with the assessed risk of unauthorized access","PR.AA-01: Identities and credentials for authorized users, services, and hardware are managed by the organization","Ex2: Issue, manage, and revoke cryptographic certificates and identity tokens, cryptographic keys (i.e., key management), and other credentials","CCMv4.0: CEK-01
CCMv4.0: CEK-10
CCMv4.0: CEK-11
CCMv4.0: CEK-12
CCMv4.0: CEK-13
CCMv4.0: CEK-14
CCMv4.0: CEK-15
CCMv4.0: CEK-16
CCMv4.0: CEK-17
CCMv4.0: CEK-18
CCMv4.0: CEK-19
CCMv4.0: CEK-20
CCMv4.0: CEK-21
CCMv4.0: DCS-08
CCMv4.0: IAM-01
CCMv4.0: IAM-03
CCMv4.0: IAM-06
CCMv4.0: IAM-07
CCMv4.0: IAM-09
CCMv4.0: IAM-13
CCMv4.0: IAM-14
CCMv4.0: IAM-15
CCMv4.0: IAM-16
CCMv4.0: UEM-14
CIS Controls v8.0: 5.1
CIS Controls v8.0: 6.7
CRI Profile v2.0: PR.AA-01
CRI Profile v2.0: PR.AA-01.01
CRI Profile v2.0: PR.AA-01.02
CSF v1.1: PR.AC-1
SP 800-53 Rev 5.1.1: AC-01
SP 800-53 Rev 5.1.1: AC-02
SP 800-53 Rev 5.1.1: AC-14
SP 800-53 Rev 5.1.1: IA-01
SP 800-53 Rev 5.1.1: IA-02
SP 800-53 Rev 5.1.1: IA-03
SP 800-53 Rev 5.1.1: IA-04
SP 800-53 Rev 5.1.1: IA-05
SP 800-53 Rev 5.1.1: IA-06
SP 800-53 Rev 5.1.1: IA-07
SP 800-53 Rev 5.1.1: IA-08
SP 800-53 Rev 5.1.1: IA-09
SP 800-53 Rev 5.1.1: IA-10
SP 800-53 Rev 5.1.1: IA-11",Yes,UDM Search with YL2,Done,"Evidence of these actions should be discoverable in the logs.  However, it will take research to determine which logs would be appropriate.",FALSE,Microsoft Azure,1.0,,"$e.additional.fields[""targetResources.modifiedProperties.newValue 0""] = /KeyIdentifier.*/
$e.additional.fields[""targetResources.modifiedProperties.oldValue 0""] = /KeyIdentifier.*/
$e.metadata.log_type = ""AZURE_AD_AUDIT""
$e.metadata.product_event_type = ""Update application – Certificates and secrets management ""

$date = timestamp.get_date($e.metadata.event_timestamp.seconds)

match:
    $date

outcome:
    $user_id = array_distinct($e.principal.user.userid)
    $old_key = array_distinct($e.additional.fields[""targetResources.modifiedProperties.oldValue 0""])
    $new_key = array_distinct($e.additional.fields[""targetResources.modifiedProperties.newValue 0""])

order:
    $date

limit: 25",
PROTECT (PR): Safeguards to manage the organization's cybersecurity risks are used,"Identity Management, Authentication, and Access Control (PR.AA): Access to physical and logical assets is limited to authorized users, services, and hardware and  managed commensurate with the assessed risk of unauthorized access","PR.AA-01: Identities and credentials for authorized users, services, and hardware are managed by the organization",Ex3: Select a unique identifier for each device from immutable hardware characteristics or an identifier securely provisioned to the device,"CCMv4.0: CEK-01
CCMv4.0: CEK-10
CCMv4.0: CEK-11
CCMv4.0: CEK-12
CCMv4.0: CEK-13
CCMv4.0: CEK-14
CCMv4.0: CEK-15
CCMv4.0: CEK-16
CCMv4.0: CEK-17
CCMv4.0: CEK-18
CCMv4.0: CEK-19
CCMv4.0: CEK-20
CCMv4.0: CEK-21
CCMv4.0: DCS-08
CCMv4.0: IAM-01
CCMv4.0: IAM-03
CCMv4.0: IAM-06
CCMv4.0: IAM-07
CCMv4.0: IAM-09
CCMv4.0: IAM-13
CCMv4.0: IAM-14
CCMv4.0: IAM-15
CCMv4.0: IAM-16
CCMv4.0: UEM-14
CIS Controls v8.0: 5.1
CIS Controls v8.0: 6.7
CRI Profile v2.0: PR.AA-01
CRI Profile v2.0: PR.AA-01.01
CRI Profile v2.0: PR.AA-01.02
CSF v1.1: PR.AC-1
SP 800-53 Rev 5.1.1: AC-01
SP 800-53 Rev 5.1.1: AC-02
SP 800-53 Rev 5.1.1: AC-14
SP 800-53 Rev 5.1.1: IA-01
SP 800-53 Rev 5.1.1: IA-02
SP 800-53 Rev 5.1.1: IA-03
SP 800-53 Rev 5.1.1: IA-04
SP 800-53 Rev 5.1.1: IA-05
SP 800-53 Rev 5.1.1: IA-06
SP 800-53 Rev 5.1.1: IA-07
SP 800-53 Rev 5.1.1: IA-08
SP 800-53 Rev 5.1.1: IA-09
SP 800-53 Rev 5.1.1: IA-10
SP 800-53 Rev 5.1.1: IA-11",Yes,Dashboard Export API,Done,"A UUID, GUID, MAC or other standard identifier should be discovered from most asset reporting log types.

The pretty print query does NOT work.  However, a SecOps dashboard has been created showing the relevant information.  Theoretically, the query or something similar should work.

Dashboard Name:  R28 PR.AA-01 Ex3 - Unique Identifier for Assets",FALSE,Agnostic,Beta,R28 PR.AA-01 Ex3 - Unique Identifier for Assets,"$hostname =  group($e.principal.hostname,$e.target.hostname,$e.src.hostname,$e.intermediary.hostname,$e.observer.hostname,$e.principal.asset.hostname,$e.src.asset.hostname,$e.target.asset.hostname)
$e.about.asset.mac != """"

match:
    $hostname

outcome:
    $macAddrs = array_distinct($e.about.asset.mac)
    $firstSeen = timestamp.get_date(min($e.metadata.event_timestamp.seconds))
    $lastSeen = timestamp.get_date(max($e.metadata.event_timestamp.seconds))

order:
    $hostname",
PROTECT (PR): Safeguards to manage the organization's cybersecurity risks are used,"Identity Management, Authentication, and Access Control (PR.AA): Access to physical and logical assets is limited to authorized users, services, and hardware and  managed commensurate with the assessed risk of unauthorized access","PR.AA-01: Identities and credentials for authorized users, services, and hardware are managed by the organization",Ex4: Physically label authorized hardware with an identifier for inventory and servicing purposes,"CCMv4.0: CEK-01
CCMv4.0: CEK-10
CCMv4.0: CEK-11
CCMv4.0: CEK-12
CCMv4.0: CEK-13
CCMv4.0: CEK-14
CCMv4.0: CEK-15
CCMv4.0: CEK-16
CCMv4.0: CEK-17
CCMv4.0: CEK-18
CCMv4.0: CEK-19
CCMv4.0: CEK-20
CCMv4.0: CEK-21
CCMv4.0: DCS-08
CCMv4.0: IAM-01
CCMv4.0: IAM-03
CCMv4.0: IAM-06
CCMv4.0: IAM-07
CCMv4.0: IAM-09
CCMv4.0: IAM-13
CCMv4.0: IAM-14
CCMv4.0: IAM-15
CCMv4.0: IAM-16
CCMv4.0: UEM-14
CIS Controls v8.0: 5.1
CIS Controls v8.0: 6.7
CRI Profile v2.0: PR.AA-01
CRI Profile v2.0: PR.AA-01.01
CRI Profile v2.0: PR.AA-01.02
CSF v1.1: PR.AC-1
SP 800-53 Rev 5.1.1: AC-01
SP 800-53 Rev 5.1.1: AC-02
SP 800-53 Rev 5.1.1: AC-14
SP 800-53 Rev 5.1.1: IA-01
SP 800-53 Rev 5.1.1: IA-02
SP 800-53 Rev 5.1.1: IA-03
SP 800-53 Rev 5.1.1: IA-04
SP 800-53 Rev 5.1.1: IA-05
SP 800-53 Rev 5.1.1: IA-06
SP 800-53 Rev 5.1.1: IA-07
SP 800-53 Rev 5.1.1: IA-08
SP 800-53 Rev 5.1.1: IA-09
SP 800-53 Rev 5.1.1: IA-10
SP 800-53 Rev 5.1.1: IA-11",No,None,,This requires physical interaction with the device to label it.  No logs would be sent to a SIEM.,FALSE,,,,,
PROTECT (PR): Safeguards to manage the organization's cybersecurity risks are used,"Identity Management, Authentication, and Access Control (PR.AA): Access to physical and logical assets is limited to authorized users, services, and hardware and  managed commensurate with the assessed risk of unauthorized access","PR.AA-03: Users, services, and hardware are authenticated",Ex1: Require multifactor authentication,"CCMv4.0: DCS-08
CCMv4.0: IAM-01
CCMv4.0: IAM-02
CCMv4.0: IAM-14
CCMv4.0: IAM-16
CCMv4.0: IVS-03
CCMv4.0: UEM-05
CCMv4.0: UEM-06
CCMv4.0: UEM-14
CRI Profile v2.0: PR.AA-03
CRI Profile v2.0: PR.AA-03.01
CRI Profile v2.0: PR.AA-03.02
CRI Profile v2.0: PR.AA-03.03
CSF v1.1: PR.AC-3
CSF v1.1: PR.AC-7
SP 800-218: PO.5.2
SP 800-53 Rev 5.1.1: AC-07
SP 800-53 Rev 5.1.1: AC-12
SP 800-53 Rev 5.1.1: IA-02
SP 800-53 Rev 5.1.1: IA-03
SP 800-53 Rev 5.1.1: IA-05
SP 800-53 Rev 5.1.1: IA-07
SP 800-53 Rev 5.1.1: IA-08
SP 800-53 Rev 5.1.1: IA-09
SP 800-53 Rev 5.1.1: IA-10
SP 800-53 Rev 5.1.1: IA-11",Yes,UDM Search with YL2,Done,"Enforcement of MFA requirements would have to be acquired via configuration review.  However, reviewing MFA logs would provide evidence that the MFA polies are successfully in place.",FALSE,Microsoft Azure,1.0,,"$userLogin.metadata.event_type = ""USER_LOGIN"" 
($userLogin.security_result.description = ""MFA completed in Azure AD"" OR $userLogin.security_result.description = ""MFA requirement satisfied by claim in the token"")
$userLogin.target.user.userid = $targetUser

match:
    $targetUser

outcome:
    $LoginFromHosts = array_distinct($userLogin.principal.asset.hostname)
    $MfaResult = array_distinct($userLogin.security_result.description)

order:
    $targetUser",
PROTECT (PR): Safeguards to manage the organization's cybersecurity risks are used,"Identity Management, Authentication, and Access Control (PR.AA): Access to physical and logical assets is limited to authorized users, services, and hardware and  managed commensurate with the assessed risk of unauthorized access","PR.AA-03: Users, services, and hardware are authenticated","Ex2: Enforce policies for the minimum strength of passwords, PINs, and similar authenticators","CCMv4.0: DCS-08
CCMv4.0: IAM-01
CCMv4.0: IAM-02
CCMv4.0: IAM-14
CCMv4.0: IAM-16
CCMv4.0: IVS-03
CCMv4.0: UEM-05
CCMv4.0: UEM-06
CCMv4.0: UEM-14
CRI Profile v2.0: PR.AA-03
CRI Profile v2.0: PR.AA-03.01
CRI Profile v2.0: PR.AA-03.02
CRI Profile v2.0: PR.AA-03.03
CSF v1.1: PR.AC-3
CSF v1.1: PR.AC-7
SP 800-218: PO.5.2
SP 800-53 Rev 5.1.1: AC-07
SP 800-53 Rev 5.1.1: AC-12
SP 800-53 Rev 5.1.1: IA-02
SP 800-53 Rev 5.1.1: IA-03
SP 800-53 Rev 5.1.1: IA-05
SP 800-53 Rev 5.1.1: IA-07
SP 800-53 Rev 5.1.1: IA-08
SP 800-53 Rev 5.1.1: IA-09
SP 800-53 Rev 5.1.1: IA-10
SP 800-53 Rev 5.1.1: IA-11",No,None,,This would have to be acquired via configuration review.,FALSE,,,,,
PROTECT (PR): Safeguards to manage the organization's cybersecurity risks are used,"Identity Management, Authentication, and Access Control (PR.AA): Access to physical and logical assets is limited to authorized users, services, and hardware and  managed commensurate with the assessed risk of unauthorized access","PR.AA-03: Users, services, and hardware are authenticated","Ex3: Periodically reauthenticate users, services, and hardware based on risk (e.g., in zero trust architectures)","CCMv4.0: DCS-08
CCMv4.0: IAM-01
CCMv4.0: IAM-02
CCMv4.0: IAM-14
CCMv4.0: IAM-16
CCMv4.0: IVS-03
CCMv4.0: UEM-05
CCMv4.0: UEM-06
CCMv4.0: UEM-14
CRI Profile v2.0: PR.AA-03
CRI Profile v2.0: PR.AA-03.01
CRI Profile v2.0: PR.AA-03.02
CRI Profile v2.0: PR.AA-03.03
CSF v1.1: PR.AC-3
CSF v1.1: PR.AC-7
SP 800-218: PO.5.2
SP 800-53 Rev 5.1.1: AC-07
SP 800-53 Rev 5.1.1: AC-12
SP 800-53 Rev 5.1.1: IA-02
SP 800-53 Rev 5.1.1: IA-03
SP 800-53 Rev 5.1.1: IA-05
SP 800-53 Rev 5.1.1: IA-07
SP 800-53 Rev 5.1.1: IA-08
SP 800-53 Rev 5.1.1: IA-09
SP 800-53 Rev 5.1.1: IA-10
SP 800-53 Rev 5.1.1: IA-11",Yes,UDM Search with YL2,Done,"Evidence would likely need to be acquired by configuration review.  However, it should be possible to verify that entities are reauthenticated peridiocally via the logs.

Note:  Current version creates a row per user, and then has a list of all applications and the total count of ALLOW eventsf ro USER_LOGIN.  This does NOT separate each application for login count to be shown per application.",FALSE,Agnostic,1.0,,"$user = $e.target.user.userid
$user = /.*/
$e.metadata.event_type = ""USER_LOGIN""
$e.security_result.action = ""ALLOW""

match:
    $user over 24h

outcome:
    $targetApplication = array_distinct($e.target.application)
    $timesAuthenticated = count($e.target.application)

limit:  100",
PROTECT (PR): Safeguards to manage the organization's cybersecurity risks are used,"Identity Management, Authentication, and Access Control (PR.AA): Access to physical and logical assets is limited to authorized users, services, and hardware and  managed commensurate with the assessed risk of unauthorized access","PR.AA-03: Users, services, and hardware are authenticated",Ex4: Ensure that authorized personnel can access accounts essential for protecting safety under emergency conditions,"CCMv4.0: DCS-08
CCMv4.0: IAM-01
CCMv4.0: IAM-02
CCMv4.0: IAM-14
CCMv4.0: IAM-16
CCMv4.0: IVS-03
CCMv4.0: UEM-05
CCMv4.0: UEM-06
CCMv4.0: UEM-14
CRI Profile v2.0: PR.AA-03
CRI Profile v2.0: PR.AA-03.01
CRI Profile v2.0: PR.AA-03.02
CRI Profile v2.0: PR.AA-03.03
CSF v1.1: PR.AC-3
CSF v1.1: PR.AC-7
SP 800-218: PO.5.2
SP 800-53 Rev 5.1.1: AC-07
SP 800-53 Rev 5.1.1: AC-12
SP 800-53 Rev 5.1.1: IA-02
SP 800-53 Rev 5.1.1: IA-03
SP 800-53 Rev 5.1.1: IA-05
SP 800-53 Rev 5.1.1: IA-07
SP 800-53 Rev 5.1.1: IA-08
SP 800-53 Rev 5.1.1: IA-09
SP 800-53 Rev 5.1.1: IA-10
SP 800-53 Rev 5.1.1: IA-11",No,None,,"While emergency users and groups could potentially be queried for their relationships, it is more likely that a manual review would be required to complete this process.",FALSE,,,,,
PROTECT (PR): Safeguards to manage the organization's cybersecurity risks are used,"Identity Management, Authentication, and Access Control (PR.AA): Access to physical and logical assets is limited to authorized users, services, and hardware and  managed commensurate with the assessed risk of unauthorized access","PR.AA-04: Identity assertions are protected, conveyed, and verified",Ex1: Protect identity assertions that are used to convey authentication and user information through single sign-on systems,"CCMv4.0: IAM-01
CCMv4.0: IAM-03
CCMv4.0: IAM-16
CRI Profile v2.0: PR.AA-04
CRI Profile v2.0: PR.AA-04.01
SP 800-53 Rev 5.1.1: IA-13",Yes,UDM Search with YL2,Done,"SAML assertions should be able to be discoverable by different authentication and SSO providers.  However, this is likely dependent on how well the related parser has been implemented in the SIEM.  So, it may require custom queries to discover the necessary evidence.

Note:  This is Entra Active DIrectory, and relies on Entra's Conditional Access functionality.  This requires an Entra ID P1 or P2 subscription for each user for data to populate.",FALSE,Microsoft Azure,1.0,,"$user = $e.target.user.userid
$user = /.*/
$loginType = $e.extensions.auth.type
$loginType = ""SSO""
$e.additional.fields[""conditionalAccessStatus""] = ""success""

match:
    $user

outcome:
    $applications = array_distinct($e.target.application )",
PROTECT (PR): Safeguards to manage the organization's cybersecurity risks are used,"Identity Management, Authentication, and Access Control (PR.AA): Access to physical and logical assets is limited to authorized users, services, and hardware and  managed commensurate with the assessed risk of unauthorized access","PR.AA-04: Identity assertions are protected, conveyed, and verified",Ex2: Protect identity assertions that are used to convey authentication and user information between federated systems,"CCMv4.0: IAM-01
CCMv4.0: IAM-03
CCMv4.0: IAM-16
CRI Profile v2.0: PR.AA-04
CRI Profile v2.0: PR.AA-04.01
SP 800-53 Rev 5.1.1: IA-13",Yes,UDM Search with YL2,Done,"SAML assertions should be able to provide this information in logs.  However, this will likely take in depth research to discover the necessary logs.  Additionally, it is likely this may require a custom query to discover the evidence.

Note:  This has been tested with Okta, but should be usable with any SAML IdP.",FALSE,Agnostic,1.0,,"($e.target.application = /SAML/ OR 
    $e.target.resource.name = /SAML/ OR
    $e.extensions.auth.type = ""SSO"" OR
    $e.metadata.product_name = /SSO/ nocase )

$user_id = group($e.principal.user.userid, $e.target.user.userid)

$date = timestamp.get_date($e.metadata.event_timestamp.seconds)

$e.target.application != """"

$e.security_result.action = ""ALLOW""

match:
    $user_id

outcome:
    $vendor = array_distinct($e.metadata.vendor_name)
    $application = array_distinct($e.target.application)

order:
    $user_id

limit: 25",
